Time,Species,Replicate,logMFI
0,C. glabrata,2,0
0,C. glabrata,3,0
0,C. glabrata,4,0
0,S. cerevisiae,5,0
0,S. cerevisiae,6,0
0,S. cerevisiae,7,0
0,K. lactis,8,0
0,K. lactis,9,0
0,K. lactis,10,0
0,K. lactis,11,0
0,K. lactis,12,0
0,K. lactis,13,0
0,C. albicans,14,0
0,C. albicans,15,0
0,C. albicans,16,0
0,C. albicans,17,0
0,C. albicans,18,0
0.25,C. glabrata,2,-0.02413367972
0.25,C. glabrata,3,-0.05664671377
0.25,C. glabrata,4,-0.05748466193
0.25,S. cerevisiae,5,0.002624143826
0.25,S. cerevisiae,6,0.0078726231
0.25,S. cerevisiae,7,-0.002672589861
0.25,K. lactis,8,-0.07701518429
0.25,K. lactis,9,-0.005810046277
0.25,K. lactis,10,-0.01011713429
0.25,K. lactis,11,-0.01277428804
0.25,K. lactis,12,-0.008312109841
0.25,K. lactis,13,0.01646811446
0.25,C. albicans,14,0.02547081854
0.25,C. albicans,15,-0.009010582175
0.25,C. albicans,16,0.07425339673
0.25,C. albicans,17,0.03358833667
0.25,C. albicans,18,0.002761818413
0.5,C. glabrata,2,0.1419733584
0.5,C. glabrata,3,0.2158744096
0.5,C. glabrata,4,0.2322191641
0.5,S. cerevisiae,5,0.1209725494
0.5,S. cerevisiae,6,0.161733109
0.5,S. cerevisiae,7,0.1322046693
0.5,K. lactis,8,0.2642273478
0.5,K. lactis,9,0.2204035087
0.5,K. lactis,10,0.2479086921
0.5,K. lactis,11,0.2116595554
0.5,K. lactis,12,0.2589163187
0.5,K. lactis,13,0.2904110197
0.5,C. albicans,14,0.08529137657
0.5,C. albicans,15,0.04886754106
0.5,C. albicans,16,-0.1929183317
0.5,C. albicans,17,-0.08998131014
0.5,C. albicans,18,-0.04368448194
0.75,C. glabrata,2,0.4075433152
0.75,C. glabrata,3,0.6100888506
0.75,C. glabrata,4,0.6089068892
0.75,S. cerevisiae,5,0.3974132718
0.75,S. cerevisiae,6,0.4609344936
0.75,S. cerevisiae,7,0.4599102535
0.75,K. lactis,8,0.8380616119
0.75,K. lactis,9,0.6992584763
0.75,K. lactis,10,0.7457833745
0.75,K. lactis,11,0.8897751955
0.75,K. lactis,12,0.9758780817
0.75,K. lactis,13,0.9919533582
0.75,C. albicans,14,0.4725633997
0.75,C. albicans,15,0.4382774969
0.75,C. albicans,16,0.3081916688
0.75,C. albicans,17,0.3961585462
0.75,C. albicans,18,0.4502147198
1,C. glabrata,2,0.6604435737
1,C. glabrata,3,0.8742119278
1,C. glabrata,4,0.8798030772
1,S. cerevisiae,5,0.7706288961
1,S. cerevisiae,6,0.8424417964
1,S. cerevisiae,7,0.8738161012
1,K. lactis,8,1.254064453
1,K. lactis,9,1.016422478
1,K. lactis,10,1.052926707
1,K. lactis,11,1.12635261
1,K. lactis,12,1.135712801
1,K. lactis,13,1.146427652
1,C. albicans,14,0.6273016912
1,C. albicans,15,0.6025056501
1,C. albicans,16,0.4459405376
1,C. albicans,17,0.5456976691
1,C. albicans,18,0.5949016087
1.5,C. glabrata,2,0.9408021239
1.5,C. glabrata,3,1.096224564
1.5,C. glabrata,4,1.095226791
1.5,S. cerevisiae,5,1.383706588
1.5,S. cerevisiae,6,1.441924931
1.5,S. cerevisiae,7,1.442277729
1.5,K. lactis,8,1.677378797
1.5,K. lactis,9,1.356172023
1.5,K. lactis,10,1.363463529
1.5,K. lactis,11,1.404106227
1.5,K. lactis,12,1.412353042
1.5,K. lactis,13,1.426519119
1.5,C. albicans,14,0.8695204706
1.5,C. albicans,15,0.8495341816
1.5,C. albicans,16,0.6931544007
1.5,C. albicans,17,0.7975024128
1.5,C. albicans,18,0.8132861645
2,C. glabrata,2,1.01943272
2,C. glabrata,3,1.1642412069999999
2,C. glabrata,4,1.168333168
2,S. cerevisiae,5,1.691483356
2,S. cerevisiae,6,1.742571867
2,S. cerevisiae,7,1.737641355
2,K. lactis,8,1.80234606
2,K. lactis,9,1.460403302
2,K. lactis,10,1.468269576
2,K. lactis,11,1.545504323
2,K. lactis,12,1.539456652
2,K. lactis,13,1.558279477
2,C. albicans,14,0.8941326142
2,C. albicans,15,0.9381949483
2,C. albicans,16,0.7213856398
2,C. albicans,17,0.8271348891
2,C. albicans,18,0.8164686004
2.5,C. glabrata,2,1.081862837
2.5,C. glabrata,3,1.207477719
2.5,C. glabrata,4,1.206533225
2.5,S. cerevisiae,5,1.894349634
2.5,S. cerevisiae,6,1.925035238
2.5,S. cerevisiae,7,1.920072085
2.5,K. lactis,8,1.819461675
2.5,K. lactis,9,1.471749668
2.5,K. lactis,10,1.484393508
2.5,K. lactis,11,1.61078356
2.5,K. lactis,12,1.608242042
2.5,K. lactis,13,1.623498985
2.5,C. albicans,14,1.063938388
2.5,C. albicans,15,0.954044292
2.5,C. albicans,16,0.7190280073
2.5,C. albicans,17,0.8351897514
2.5,C. albicans,18,0.8359988703
3,C. glabrata,2,0.9923977183
3,C. glabrata,3,1.192279732
3,C. glabrata,4,1.203207982
3,S. cerevisiae,5,2.082088723
3,S. cerevisiae,6,2.097121812
3,S. cerevisiae,7,2.103404929
3,K. lactis,8,1.792128932
3,K. lactis,9,1.455729911
3,K. lactis,10,1.455145514
3,K. lactis,11,1.631708394
3,K. lactis,12,1.637565604
3,K. lactis,13,1.646966943
3,C. albicans,14,0.9959000891
3,C. albicans,15,0.9515589099
3,C. albicans,16,0.7396118019
3,C. albicans,17,0.8669433732
3,C. albicans,18,0.8723282402
3.5,C. glabrata,2,1.189866761
