Scer1	Scer2	Cgla1	Cgla2	Klac	Calb	n.NAs
YAL068C	NA	NA	NA	NA	NA	5
YAL059W	NA	CAGL0D00220g	NA	KLLA0F00484g	orf19.5299	2
YBL103C	NA	CAGL0M09405g	NA	KLLA0E06513g	orf19.2315	2
YDR167W	NA	CAGL0E00935g	NA	KLLA0D17204g	orf19.3242	2
YDR168W	NA	CAGL0E00913g	NA	KLLA0D17226g	orf19.5531	2
YDR169C	NA	CAGL0E00891g	NA	KLLA0D17270g	orf19.203	2
YDR170C	NA	CAGL0E00847g	NA	KLLA0D17358g	orf19.5947	2
YDR172W	NA	CAGL0E00781g	NA	KLLA0D17424g	orf19.1378	2
YFL059W	NA	NA	NA	NA	NA	5
YFL060C	NA	NA	NA	NA	NA	5
YDR173C	NA	CAGL0E00759g	NA	KLLA0D17402g	orf19.1377	2
YOR192C	NA	NA	NA	NA	NA	5
YDR174W	NA	CAGL0E00737g	NA	KLLA0D18029g	orf19.6645	2
YCL057W	NA	CAGL0B00418g	NA	KLLA0C00572g	orf19.434	2
YJL206C	NA	CAGL0F02519g	NA	KLLA0C03201g	NA	3
YDR175C	NA	CAGL0E00715g	NA	KLLA0D18051g	orf19.3022	2
YDR176W	NA	CAGL0E00693g	NA	KLLA0D18073g	orf19.3023	2
YDR177W	NA	CAGL0E00671g	NA	KLLA0C18656g	orf19.1085	2
YOL083W	NA	NA	NA	NA	NA	5
YGL257C	NA	NA	NA	NA	orf19.4900	4
YMR303C	NA	NA	NA	NA	NA	5
YOL015W	NA	NA	NA	NA	NA	5
YBL102W	NA	CAGL0M09427g	NA	KLLA0E06535g	orf19.2342	2
YDR178W	YLR164W	CAGL0F05863g	NA	KLLA0D18117g	orf19.4468	1
YOR020W-A	NA	CAGL0E04548g	NA	KLLA0E09329g	NA	3
YDR011W	NA	CAGL0I04862g	NA	KLLA0D03432g	orf19.5759	2
YDR179C	NA	CAGL0F05841g	NA	KLLA0D18139g	NA	3
YKL222C	NA	NA	NA	NA	NA	5
YOR381W	NA	NA	NA	NA	orf19.1930	4
YDR179W-A	NA	CAGL0F05819g	NA	KLLA0D18161g	orf19.3009	2
YIR013C	NA	NA	NA	NA	NA	5
YLR013W	NA	NA	NA	NA	NA	5
YDR034W-B	YBR056W-A	NA	NA	KLLA0F18766g	NA	3
